HQ ID,Ecosystem Area,Asset Type,Asset / Idea,Topic / Cluster,Primary Channel,Secondary Channels,Format,Stage,Priority,Next Action,Blocked By,Owner,Calendar Use,Publish URL,Source / Evidence,Notes,Short Description,Seasonality,Planning Month,Target Publish Date,Susy Input,Last Updated,Last Posted Date,Last Checked,Metric Snapshot,Work Date,Pillar,Audience,CTA / Goal,Copy / Captions,Examples,Affiliate Angle,Missing / Incomplete Items,Last Optimized Date,Canva Design URL,Canva Template URL,Visual Asset Status
BW-HQ-001,System,Operating System,Bloom Whispers Content HQ,All,Codex,"Spreadsheet, Dashboard",Tracker,In Production,P0 - active this week,Create first tracker and use it as weekly source of truth,,Codex,Weekly review block,,docs/brands/bloom-whispers/content-hq/bloom-whispers-content-hq.csv,"This tracker is the control room, not another idea graveyard.","This tracker is the control room, not another idea graveyard.",Evergreen,,,,2026-08-18,,,,,,,,,,,,
BW-HQ-069,Instagram,Post,6 Flowers For When You Need To Feel Brave Again,Quiz / emotional flowers,Instagram,Website,Carousel,Idea Bank,P3 - someday / parking lot,Choose flowers and messages,Needs flower selection,Codex,None yet,,docs/brands/bloom-whispers/instagram-content-pipeline-tracker-2026-08-02.csv,Quiz-adjacent.,Quiz-adjacent.,Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-080,Affiliate,Roundup Article,20 Flower Rings Inspired By Symbolism And Folklore,Flower rings,Website,"Pinterest, Affiliate",Product roundup,Idea Bank,P1 - next best move,Research products and outline roundup,Needs manual product/review research,Susy + Codex,Research block,,docs/brands/bloom-whispers/market-research/roundup-topic-demand-2026-08-13/bloom-whispers-roundup-topic-pinterest-validation-2026-08-13.md,Highest validated product roundup after executed books post.,Highest validated product roundup after executed books post.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-081,Affiliate,Roundup Article,15 Floral Picnic Accessories For Spring And Summer,Floral picnic,Website,"Pinterest, Affiliate",Product roundup,Idea Bank,P2 - strong backlog,Research products and seasonal timing,Needs product research,Susy + Codex,None yet,,docs/brands/bloom-whispers/market-research/roundup-topic-demand-2026-08-13/bloom-whispers-roundup-topic-pinterest-validation-2026-08-13.md,Strong Pinterest/autocomplete.,Strong Pinterest/autocomplete.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-082,Affiliate,Roundup Article,15 Jasmine Products For Night Garden Energy,Jasmine,Website,"Pinterest, Affiliate",Product roundup,Idea Bank,P2 - strong backlog,Research products and source jasmine symbolism,Needs product research,Susy + Codex,None yet,,docs/brands/bloom-whispers/market-research/roundup-topic-demand-2026-08-13/bloom-whispers-roundup-topic-pinterest-validation-2026-08-13.md,Good night-garden brand fit.,Good night-garden brand fit.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-083,Affiliate,Roundup Article,25 Pieces Of Flower Jewelry With Hidden Meaning,Flower jewelry,Website,"Pinterest, Affiliate",Product roundup,Idea Bank,P2 - strong backlog,Research products and symbolism groupings,Needs product research,Susy + Codex,None yet,,docs/brands/bloom-whispers/market-research/roundup-topic-demand-2026-08-13/bloom-whispers-roundup-topic-pinterest-validation-2026-08-13.md,Commercially broad.,Commercially broad.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-084,Affiliate,Roundup Article,15 Floral Perfumes For Every Personality,Floral perfume,Website,"Pinterest, Affiliate",Product roundup,Idea Bank,P2 - strong backlog,Research products and scent-positioning angle,Needs product research,Susy + Codex,None yet,,docs/brands/bloom-whispers/market-research/roundup-topic-demand-2026-08-13/bloom-whispers-roundup-topic-pinterest-validation-2026-08-13.md,Could link to quiz identity path.,Could link to quiz identity path.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-085,Affiliate,Roundup Article,"15 Edible Flower Products For Cakes, Cocktails, And Salads",Edible flowers,Website,"Pinterest, Affiliate",Product roundup,Idea Bank,P2 - strong backlog,Research products with safety disclaimers,Food safety,Susy + Codex,None yet,,docs/brands/bloom-whispers/market-research/roundup-topic-demand-2026-08-13/bloom-whispers-roundup-topic-pinterest-validation-2026-08-13.md,Avoid health claims.,Avoid health claims.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-086,Affiliate,Roundup Article,15 Online Floral Design Classes And Platforms,Floral design,Website,"Pinterest, Affiliate",Product roundup,Idea Bank,P2 - strong backlog,Research classes/platforms and affiliate options,Needs product research,Susy + Codex,None yet,,docs/brands/bloom-whispers/market-research/roundup-topic-demand-2026-08-13/bloom-whispers-roundup-topic-pinterest-validation-2026-08-13.md,Useful education lane.,Useful education lane.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-087,Affiliate,Roundup Article,20 Flower Vases That Make Grocery Store Blooms Look Expensive,Flower vases,Website,"Pinterest, Affiliate",Product roundup,Idea Bank,P2 - strong backlog,Research products by arrangement type,Needs product research,Susy + Codex,None yet,,docs/brands/bloom-whispers/market-research/roundup-topic-demand-2026-08-13/bloom-whispers-roundup-topic-pinterest-validation-2026-08-13.md,Practical and saveable.,Practical and saveable.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-088,Affiliate,Roundup Article,20 Garden Party Products For A Bloom-Filled Brunch,Garden party,Website,"Pinterest, Affiliate",Product roundup,Idea Bank,P3 - someday / parking lot,Hold for seasonal/event content batch,Needs product research,Susy + Codex,None yet,,docs/brands/bloom-whispers/market-research/roundup-topic-demand-2026-08-13/bloom-whispers-roundup-topic-pinterest-validation-2026-08-13.md,Event/seasonal.,Event/seasonal.,Seasonal,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-090,Guide,Roundup Article,20 Edible Flowers And Their Historical Uses,Edible flowers,Website,Pinterest,Guide roundup,Idea Bank,P2 - strong backlog,Create safety-first historical outline,Food safety,Codex,None yet,,docs/brands/bloom-whispers/market-research/roundup-topic-demand-2026-08-13/bloom-whispers-roundup-topic-pinterest-validation-2026-08-13.md,Top guide idea.,Top guide idea.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-091,Guide,Roundup Article,"20 Flowers That Mean Love, From Sweet To Obsessive",Love flowers,Website,"Pinterest, Instagram",Guide roundup,Idea Bank,P2 - strong backlog,Source-check meanings and select flower set,Needs research,Codex,None yet,,docs/brands/bloom-whispers/market-research/roundup-topic-demand-2026-08-13/bloom-whispers-roundup-topic-pinterest-validation-2026-08-13.md,Search-friendly.,Search-friendly.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-092,Guide,Roundup Article,12 Zodiac Signs As Flowers,Zodiac flowers,Website,"Instagram, Pinterest",Guide roundup,Idea Bank,P3 - someday / parking lot,Use playful caveated mapping,Needs mapping,Codex,None yet,,docs/brands/bloom-whispers/market-research/roundup-topic-demand-2026-08-13/bloom-whispers-roundup-topic-pinterest-validation-2026-08-13.md,Pairs with IG BW-IG-013.,Pairs with IG BW-IG-013.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-093,Guide,Roundup Article,25 Flower Names For Babies And Their Meanings,Flower names,Website,"Pinterest, Affiliate",Guide roundup,Idea Bank,P3 - someday / parking lot,Research meanings and naming caveats,Needs research,Codex,None yet,,docs/brands/bloom-whispers/market-research/roundup-topic-demand-2026-08-13/bloom-whispers-roundup-topic-pinterest-validation-2026-08-13.md,Broad Pinterest demand.,Broad Pinterest demand.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-094,Guide,Roundup Article,15 Flowers Bees And Butterflies Love Most,Pollinator flowers,Website,Pinterest,Guide roundup,Idea Bank,P3 - someday / parking lot,Create regional/source-caveated outline,Ecology nuance,Codex,None yet,,docs/brands/bloom-whispers/market-research/roundup-topic-demand-2026-08-13/bloom-whispers-roundup-topic-pinterest-validation-2026-08-13.md,Could become too gardening-heavy.,Could become too gardening-heavy.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-095,Guide,Roundup Article,20 Poisonous Flowers With Beautiful Stories,Poisonous flowers,Website,"Pinterest, Instagram",Guide roundup,Idea Bank,P2 - strong backlog,Create safety-led concept brief,Safety-sensitive,Codex,Research block,,docs/brands/bloom-whispers/market-research/roundup-topic-demand-2026-08-13/bloom-whispers-roundup-topic-pinterest-validation-2026-08-13.md,"Very Bloom Whispers, must be careful.","Very Bloom Whispers, must be careful.",Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-096,Guide,Roundup Article,20 Meadow Flowers You Would Find In A Storybook Landscape,Meadow flowers,Website,"Pinterest, Etsy",Guide roundup,Idea Bank,P3 - someday / parking lot,Hold for visual/pin batch,Needs research,Codex,None yet,,docs/brands/bloom-whispers/market-research/roundup-topic-demand-2026-08-13/bloom-whispers-roundup-topic-pinterest-validation-2026-08-13.md,Strong visual lane.,Strong visual lane.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-097,Guide,Roundup Article,20 Flowers That Appear In Fairy Tales And Folk Stories,Fairy tale flowers,Website,"Pinterest, Podcast",Guide roundup,Idea Bank,P2 - strong backlog,Research folklore set with sources,Needs research,Codex,Research block,,docs/brands/bloom-whispers/market-research/roundup-topic-demand-2026-08-13/bloom-whispers-roundup-topic-pinterest-validation-2026-08-13.md,Strong brand fit.,Strong brand fit.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-098,Guide,Roundup Article,25 Flowers With Dark Or Gothic Meanings,Dark flower meanings,Website,"Pinterest, Etsy",Guide roundup,Idea Bank,P2 - strong backlog,Research/source-check list,Needs research,Codex,Research block,,docs/brands/bloom-whispers/market-research/roundup-topic-demand-2026-08-13/bloom-whispers-roundup-topic-pinterest-validation-2026-08-13.md,Pairs with Etsy dark botanical lane.,Pairs with Etsy dark botanical lane.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-099,Guide,Roundup Article,"20 Flowers Associated With Dreams, Sleep, And The Moon",Moon flowers,Website,"Pinterest, Podcast",Guide roundup,Idea Bank,P2 - strong backlog,Research flower set and safety caveats,Needs research,Codex,Research block,,docs/brands/bloom-whispers/market-research/roundup-topic-demand-2026-08-13/bloom-whispers-roundup-topic-pinterest-validation-2026-08-13.md,Good podcast/sleep bridge.,Good podcast/sleep bridge.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-110,Pinterest,Recovery Task,Assemble next Pinterest recovery batch,Recovery batch,Pinterest,"ClickUp, Metricool",Batch operation,Selected,P1 - next best move,"Combine legacy URL refresh plus selected new URL content, keywords, board routing, and scheduling",Batch not assembled,Codex + ClickUp agent,Schedule Pinterest planning block,,docs/brands/bloom-whispers/pinterest-triage-diagnosis-2026-06-07.md,ClickUp remains execution layer.,ClickUp remains execution layer.,Evergreen,,,,2026-06-07,,,,,,,,,,,,
BW-HQ-111,Pinterest,Recovery URL,Hibiscus Flower Benefits refresh,Hibiscus,Pinterest,Website,Fresh pins,Selected,P2 - strong backlog,"Create fresh graphics, copies, keywords, board routing",Needs Pinterest batch production,ClickUp/Pinterest agent,None yet,https://bloomwhispers.com/hibiscus-flower-benefits/,docs/brands/bloom-whispers/pinterest-triage-diagnosis-2026-06-07.md,Current in-progress recovery URL.,Current in-progress recovery URL.,Evergreen,,,,2026-06-07,,,,,,,,,,,,
BW-HQ-112,Pinterest,Recovery URL,Hibiscus Flower Uses refresh,Hibiscus,Pinterest,Website,Fresh pins,Selected,P2 - strong backlog,"Create fresh graphics, copies, keywords, board routing",Needs Pinterest batch production,ClickUp/Pinterest agent,None yet,https://bloomwhispers.com/hibiscus-flower-uses/,docs/brands/bloom-whispers/pinterest-triage-diagnosis-2026-06-07.md,Current in-progress recovery URL.,Current in-progress recovery URL.,Evergreen,,,,2026-06-07,,,,,,,,,,,,
BW-HQ-113,Pinterest,Recovery URL,Flower Meaning Guide refresh,Flower meanings,Pinterest,Website,Fresh pins,Selected,P1 - next best move,Recreate/refine guide pins and board routing,Needs Pinterest batch production,ClickUp/Pinterest agent,None yet,https://bloomwhispers.com/flower-meaning-guide/,docs/brands/bloom-whispers/pinterest-triage-diagnosis-2026-06-07.md,Core funnel page.,Core funnel page.,Evergreen,,,,2026-06-07,,,,,,,,,,,,
BW-HQ-114,Pinterest,Recovery URL,Healing Properties Of Flowers refresh,Flower healing,Pinterest,Website,Fresh pins,Selected,P2 - strong backlog,"Create fresh graphics, copies, keywords, board routing",Needs Pinterest batch production,ClickUp/Pinterest agent,None yet,https://bloomwhispers.com/healing-properties-of-flowers/,docs/brands/bloom-whispers/pinterest-triage-diagnosis-2026-06-07.md,Current in-progress recovery URL.,Current in-progress recovery URL.,Evergreen,,,,2026-06-07,,,,,,,,,,,,
BW-HQ-115,Pinterest,Recovery URL,Hibiscus Flower Meaning refresh,Hibiscus,Pinterest,Website,Fresh pins,Selected,P2 - strong backlog,Check current article quality and refresh pins,Needs quality check,ClickUp/Pinterest agent,None yet,https://bloomwhispers.com/2025/10/28/hibiscus-flower-meaning/,docs/brands/bloom-whispers/pinterest-triage-diagnosis-2026-06-07.md,Tagged trend in diagnosis.,Tagged trend in diagnosis.,Evergreen,,,,2026-06-07,,,,,,,,,,,,
BW-HQ-116,Pinterest,New URL Lane,Select fresh new URLs for recovery batch,Validated clusters,Pinterest,Website,Content selection,Needs Research,P1 - next best move,"Select new URLs from Dandelion, Cosmos, QAL Uses, or validated flower shortlist",Needs strategic selection,Codex,Planning block,,docs/brands/bloom-whispers/pinterest-triage-diagnosis-2026-06-07.md,Recovery should not be recycled legacy URLs only.,Recovery should not be recycled legacy URLs only.,Evergreen,,,,2026-06-07,,,,,,,,,,,,
BW-HQ-120,Pinterest,Topic Cluster,Gladiolus,Gladiolus,Website,"Pinterest, Instagram",Future article cluster,Idea Bank,P2 - strong backlog,Evaluate as future article package,Needs topic selection,Codex,None yet,,docs/brands/bloom-whispers/market-research/pinterest-flower-demand-2026-08-10-v3/pinterest-flower-demand-decision-memo-2026-08-10-v3.md,Top create-now shortlist.,Top create-now shortlist.,Evergreen,,,,2026-08-10,,,,,,,,,,,,
BW-HQ-121,Pinterest,Topic Cluster,Wisteria,Wisteria,Website,"Pinterest, Instagram",Future article cluster,Idea Bank,P2 - strong backlog,Evaluate as future article package,Needs topic selection,Codex,None yet,,docs/brands/bloom-whispers/market-research/pinterest-flower-demand-2026-08-10-v3/pinterest-flower-demand-decision-memo-2026-08-10-v3.md,Top create-now shortlist.,Top create-now shortlist.,Evergreen,,,,2026-08-10,,,,,,,,,,,,
BW-HQ-122,Pinterest,Topic Cluster,Water Lily,Water Lily,Website,"Pinterest, Instagram",Future article cluster,Idea Bank,P2 - strong backlog,Evaluate as future article package,Needs topic selection,Codex,None yet,,docs/brands/bloom-whispers/market-research/pinterest-flower-demand-2026-08-10-v3/pinterest-flower-demand-decision-memo-2026-08-10-v3.md,Top create-now shortlist.,Top create-now shortlist.,Evergreen,,,,2026-08-10,,,,,,,,,,,,
BW-HQ-123,Pinterest,Topic Cluster,Magnolia,Magnolia,Website,"Pinterest, Instagram",Future article cluster,Idea Bank,P2 - strong backlog,Evaluate as future article package,Needs topic selection,Codex,None yet,,docs/brands/bloom-whispers/market-research/pinterest-flower-demand-2026-08-10-v3/pinterest-flower-demand-decision-memo-2026-08-10-v3.md,Top create-now shortlist.,Top create-now shortlist.,Evergreen,,,,2026-08-10,,,,,,,,,,,,
BW-HQ-124,Pinterest,Topic Cluster,Plumeria,Plumeria,Website,"Pinterest, Instagram",Future article cluster,Idea Bank,P2 - strong backlog,Evaluate as future article package,Needs topic selection,Codex,None yet,,docs/brands/bloom-whispers/market-research/pinterest-flower-demand-2026-08-10-v3/pinterest-flower-demand-decision-memo-2026-08-10-v3.md,Top create-now shortlist.,Top create-now shortlist.,Evergreen,,,,2026-08-10,,,,,,,,,,,,
BW-HQ-125,Pinterest,Topic Cluster,Rare / Unique Flowers,Rare / unique flowers,Website,"Pinterest, Instagram",Future article cluster,Idea Bank,P2 - strong backlog,Evaluate as future article package,Needs topic selection,Codex,None yet,,docs/brands/bloom-whispers/market-research/pinterest-flower-demand-2026-08-10-v3/pinterest-flower-demand-decision-memo-2026-08-10-v3.md,Curiosity visual topic.,Curiosity visual topic.,Evergreen,,,,2026-08-10,,,,,,,,,,,,
BW-HQ-126,Pinterest,Topic Cluster,Daffodil,Daffodil,Website,"Pinterest, Instagram",Future article cluster,Idea Bank,P3 - someday / parking lot,Evaluate as future article package,Needs topic selection,Codex,None yet,,docs/brands/bloom-whispers/market-research/pinterest-flower-demand-2026-08-10-v3/pinterest-flower-demand-decision-memo-2026-08-10-v3.md,Seasonal timing matters.,Seasonal timing matters.,Seasonal,,,,2026-08-10,,,,,,,,,,,,
BW-HQ-127,Pinterest,Topic Cluster,Gardenia,Gardenia,Website,"Pinterest, Instagram",Future article cluster,Idea Bank,P3 - someday / parking lot,Evaluate as future article package,Needs topic selection,Codex,None yet,,docs/brands/bloom-whispers/market-research/pinterest-flower-demand-2026-08-10-v3/pinterest-flower-demand-decision-memo-2026-08-10-v3.md,Shortlist topic.,Shortlist topic.,Evergreen,,,,2026-08-10,,,,,,,,,,,,
BW-HQ-128,Pinterest,Topic Cluster,Narcissus,Narcissus,Website,"Pinterest, Instagram",Future article cluster,Idea Bank,P3 - someday / parking lot,Evaluate as future article package,Needs topic selection,Codex,None yet,,docs/brands/bloom-whispers/market-research/pinterest-flower-demand-2026-08-10-v3/pinterest-flower-demand-decision-memo-2026-08-10-v3.md,Shortlist topic.,Shortlist topic.,Evergreen,,,,2026-08-10,,,,,,,,,,,,
BW-HQ-129,Pinterest,Topic Cluster,Lily,Lily,Website,"Pinterest, Instagram",Future article cluster,Idea Bank,P3 - someday / parking lot,Evaluate as future article package,Needs topic selection,Codex,None yet,,docs/brands/bloom-whispers/market-research/pinterest-flower-demand-2026-08-10-v3/pinterest-flower-demand-decision-memo-2026-08-10-v3.md,Shortlist topic.,Shortlist topic.,Evergreen,,,,2026-08-10,,,,,,,,,,,,
BW-HQ-130,Pinterest,Topic Cluster,Hyacinth,Hyacinth,Website,"Pinterest, Instagram",Future article cluster,Idea Bank,P3 - someday / parking lot,Evaluate as future article package,Needs topic selection,Codex,None yet,,docs/brands/bloom-whispers/market-research/pinterest-flower-demand-2026-08-10-v3/pinterest-flower-demand-decision-memo-2026-08-10-v3.md,Shortlist topic.,Shortlist topic.,Evergreen,,,,2026-08-10,,,,,,,,,,,,
BW-HQ-140,Etsy,Shop Operations,Review live Etsy listings and early signals,Etsy shop,Etsy,Pinterest,Listing review,Monitoring,P1 - next best move,"Review live listings BW-011, BW-013, BW-014, BW-016, BW-019, BW-020, BW-027 after review dates",Needs Etsy data capture,Etsy agent + Susy,Add review block,,docs/brands/bloom-whispers/market-research/category-opportunity-scorecard-2026-08-14.md,Use as shop-specific dashboard input.,Use as shop-specific dashboard input.,Evergreen,August 2026,,"Capture Etsy views, favorites, sales, and conversion for live listings",2026-08-18,,2026-08-13,"Etsy shop snapshot 2026-08-01 to 2026-08-13: 20 visits, 0 orders, 0 favorites, 1 Etsy-search visit.",,,,,,,,,
BW-HQ-141,Etsy,Product Brief,Sage Botanical Japandi Wall Art Set Of 3,Minimal / Japandi botanical,Etsy,Pinterest,Digital wall art set,Selected,P1 - next best move,Create product brief and design direction if opening a new listing lane,Needs go/no-go from Susy,Etsy agent,Production block,,docs/brands/bloom-whispers/market-research/category-opportunity-scorecard-2026-08-14.md,Recommended next product test.,Recommended next product test.,Evergreen,August 2026,,Give go/no-go on the Sage Botanical Japandi product lane,2026-08-18,,,,,,,,,,,,
BW-HQ-142,Etsy,Inventory Constraint,Hydrangea overproduction hold,Hydrangea,Etsy,Pinterest,Shop constraint,Hold,Hold - deliberately paused,Wait for BW-019/BW-020 review before more hydrangea,Needs review signals,Etsy agent,Review date only,,docs/brands/bloom-whispers/market-research/category-opportunity-scorecard-2026-08-14.md,Do not create more hydrangea yet.,Do not create more hydrangea yet.,Evergreen,,,,2026-08-18,,,,,,,,,,,,
BW-HQ-143,Etsy,Inventory Constraint,Poppy/dark botanical overproduction hold,Poppy / dark botanical,Etsy,Pinterest,Shop constraint,Hold,Hold - deliberately paused,Review existing poppy inventory before more poppy designs,Needs review signals,Etsy agent,Review date only,,docs/brands/bloom-whispers/market-research/category-opportunity-scorecard-2026-08-14.md,"Dark botanical still strong, but poppy is heavy.","Dark botanical still strong, but poppy is heavy.",Evergreen,,,,2026-08-18,,,,,,,,,,,,
BW-HQ-144,Etsy,Product Queue,Nursery/hydrangea draft set,Nursery / hydrangea,Etsy,Pinterest,Draft listings,In Production,P2 - strong backlog,Publish or final-QA one nursery listing before new nursery concepts,Needs draft review,Etsy agent,Production block,,docs/brands/bloom-whispers/market-research/category-opportunity-scorecard-2026-08-14.md,"Existing draft inventory BW-021, BW-022, BW-026.","Existing draft inventory BW-021, BW-022, BW-026.",Evergreen,August 2026,,,2026-08-18,,,,,,,,,,,,
BW-HQ-145,Etsy,Product Queue,Junk journal ephemera BW-004 revision,Printable packs,Etsy,Pinterest,Digital printable,Hold,Hold - deliberately paused,Fix only after wall-art cadence stabilizes,Revision-heavy,Etsy agent,None yet,,docs/brands/bloom-whispers/market-research/category-opportunity-scorecard-2026-08-14.md,Not fastest path right now.,Not fastest path right now.,Evergreen,,,,2026-08-18,,,,,,,,,,,,
BW-HQ-150,Podcast / YouTube,Video / Episode,Dahlia Meaning Before Sleep,Dahlia,YouTube,"Podcast, Website",Whispered meaning,Selected,P2 - strong backlog,Research angle and create script packet,Needs script packet,Codex + Susy,Recording/script block,,outputs/bloom-whispers-airtable-pilot/01-videos.csv,"Selected high-priority pilot, not started.","Selected high-priority pilot, not started.",Evergreen,,,,2026-07-13,,,,,,,,,,,,
BW-HQ-151,Podcast / YouTube,Video / Episode,Dahlia Rain: Dark Floral Lofi For Sleep,Dahlia,YouTube,Podcast,Sleep soundscape,Selected,P2 - strong backlog,Create sonic palette and Suno prompts,Needs sonic direction,Codex + Susy,Music production block,,outputs/bloom-whispers-airtable-pilot/01-videos.csv,"Selected high-priority pilot, not started.","Selected high-priority pilot, not started.",Evergreen,,,,2026-07-13,,,,,,,,,,,,
BW-HQ-152,Podcast / YouTube,Episode,The Wish That Learned To Fly,Dandelion,Podcast,"YouTube, Website",Short audio story,Idea Bank,P2 - strong backlog,Hold until Dandelion article or IG pilot is produced,Needs content anchor,Codex + Susy,None yet,,docs/brands/bloom-whispers/dandelion-research-dossier-2026-08-09.md,Podcast potential from dossier.,Podcast potential from dossier.,Evergreen,,,,2026-08-09,,,,,,,,,,,,
BW-HQ-153,Podcast / YouTube,Episode,The Flower That Named A Tiny Universe,Cosmos,Podcast,"YouTube, Website",Short audio story,Idea Bank,P3 - someday / parking lot,Hold until Cosmos article direction is approved,Needs content anchor,Codex + Susy,None yet,,docs/brands/bloom-whispers/cosmos-research-dossier-2026-08-09.md,Podcast potential from dossier.,Podcast potential from dossier.,Evergreen,,,,2026-08-09,,,,,,,,,,,,
BW-HQ-154,Podcast / YouTube,Episode,Marigold: The Flower That Makes A Path Home,Marigold,Podcast,"Website, Instagram",Short audio story,Idea Bank,P3 - someday / parking lot,Consider after Marigold article repurpose plan,Needs audio decision,Codex + Susy,None yet,,docs/brands/bloom-whispers/marigold-research-dossier-2026-06-08.md,Audio-worthy but not urgent.,Audio-worthy but not urgent.,Evergreen,,,,2026-08-13,,,,,,,,,,,,
BW-HQ-200,Published Baseline,Article,"Queen Anne's Lace Meaning: Why This Delicate Flower Carries Blood, Beauty, And Warning",Queen Anne's Lace,Website,"Pinterest, Instagram",Pillar article,Published,Done - published or implemented,Monitor and repurpose into IG/Pinterest satellites,,Codex,Review/repurpose block,https://bloomwhispers.com/queen-annes-lace-meaning/,apps/bloom-whispers/lib/journalPosts.ts,Implemented site content.,Implemented site content.,Evergreen,,2026-06-09,,2026-08-14,2026-06-09,,,,,,,,,,,
BW-HQ-201,Published Baseline,Article,Marigold Meaning: 7 Things That Will Surprise You,Marigold,Website,"Pinterest, Instagram",Pillar article,Published,Done - published or implemented,Monitor and repurpose into IG/Pinterest satellites,,Codex,Review/repurpose block,https://bloomwhispers.com/marigold-meaning/,apps/bloom-whispers/lib/journalPosts.ts,Implemented site content.,Implemented site content.,Evergreen,,2026-08-12,,2026-08-14,2026-08-12,,,,,,,,,,,
BW-HQ-202,Published Baseline,Article,20 Beautiful Language Of Flowers Books For Flower Lovers,Language of Flowers books,Website,"Pinterest, Affiliate",Affiliate roundup,Published,Done - published or implemented,Monitor performance and repurpose,,Codex,Review/repurpose block,https://bloomwhispers.com/language-of-flowers-books/,apps/bloom-whispers/lib/journalPosts.ts,Executed P01 roundup.,Executed P01 roundup.,Evergreen,,2026-08-14,,2026-08-14,2026-08-14,,,,,,Affiliate clicks and useful book discovery,,,Language of flowers book roundup,Missing book/article images,
BW-HQ-203,Published Baseline,Interactive,What Flower Message Do You Need Right Now?,Quiz,Website,"Instagram, Email",Quiz,Published,Done - published or implemented,Wire real email capture and analytics as separate tasks,,Codex,Review block,https://bloomwhispers.com/flower-message-quiz/,apps/bloom-whispers/app/flower-message-quiz/page.tsx,V1 quiz is live in app.,V1 quiz is live in app.,Evergreen,,,,2026-05-26,,,,,,,,,,,,
BW-HQ-204,Published Baseline,Archive,Migrated Bloom Whispers journal archive,Existing WordPress migration,Website,Pinterest,Migrated posts,Published,Done - published or implemented,Audit old posts only when selected for recovery or repurpose,,Codex,None,https://bloomwhispers.com/journal/,apps/bloom-whispers/lib/journalPosts.ts,Do not let old archive distract from active queue.,Do not let old archive distract from active queue.,Evergreen,,,,2026-08-14,,,,,,,,,,,,
BW-HQ-146,Etsy,Listing,BW-018 Hydrangea Fence,Hydrangea / coastal botanical,Etsy,Pinterest,Digital wall art listing,Published,Done - published or implemented,Review performance on 2026-08-25 and compare with BW-017 before creating a coastal trio,,Etsy agent + Susy,Review 2026-08-25,,docs/brands/bloom-whispers/market-research/category-opportunity-scorecard-2026-08-14.md,Latest known Etsy listing from the repo scorecard.,Latest known Etsy listing from the repo scorecard; use for last-posted baseline and review cadence.,Evergreen,August 2026,2026-08-18,,2026-08-18,2026-08-18,2026-08-18,,,,,,,,,,
BW-HQ-205,Published Baseline,Article,"Spider Lily Colors & Meanings: Red, White, Pink, Yellow (and What You’re Actually Looking At)",Spider Lily,Blog,"Pinterest, Instagram",Published article,Published,Done - published or implemented,"Monitor, optimize, and decide whether to repurpose.",,Codex,Review/optimization block,https://bloomwhispers.com/spider-lily-colors-meanings/,apps/bloom-whispers/lib/journalPosts.ts,Imported from current Bloom Whispers journal archive.,If you’ve ever searched “Spider Lily Colors & Meanings” and left more confused than when you started… you’re not imagining it.,Evergreen,,2026-03-23,,2026-03-24,2026-03-23,2026-08-19,,,Flower meanings,Bloom Whispers readers,Use as published archive baseline for optimization and repurposing decisions.,,,,,,,,
BW-HQ-206,Published Baseline,Article,Spider Lily in Anime & Pop Culture: Why Higanbana Shows Up So Often,Spider Lily,Blog,"Pinterest, Instagram",Published article,Published,Done - published or implemented,"Monitor, optimize, and decide whether to repurpose.",,Codex,Review/optimization block,https://bloomwhispers.com/spider-lily-in-anime/,apps/bloom-whispers/lib/journalPosts.ts,Imported from current Bloom Whispers journal archive.,"If you’ve watched enough anime, you’ve probably felt this without anyone saying it out loud:",Evergreen,,2026-03-23,,2026-03-23,2026-03-23,2026-08-19,,,Flower meanings,Bloom Whispers readers,Use as published archive baseline for optimization and repurposing decisions.,,,,,,,,
